Index	Link	Playlist ID	Optional/Essential (O/E)
			
	Baseline exam	Same as TFI/Akanksha baseline assessments	E
			
	Playlist 1: Read/write 4 digit numbers; place value and face value; expanded form of numbers	g3_p1	E
	Subtitle: Week 1		
Video 1	/v/place-value-1/	g3_p1	E
Video 2	/v/place-value-3/	g3_p1	E
Video 3	/v/representing-numbers/	g3_p1	E
Video 4	/v/comparing-place-values/	g3_p1	E
Exercise 1	/e/place_value/ 	g3_p1	E
			
	Playlist 2: Identify numbers that are <, >, =; ascending and descending numbers	g3_p2	E
Video 1	/v/greater-than-and-less-than-symbols/	g3_p2	E
Exercise 1	/e/comparing_whole_numbers/	g3_p2	E
	Subtitle: Week 2		
Video 2	/v/plotting-inequalities-on-a-number-line/	g3_p2	E
Video 3	/v/writing-numerical-inequalities-exercise/	g3_p2	E
Video 4	/v/inequalities-in-one-variable-1-exercise/	g3_p2	E
Video 5	/v/inequalities-on-a-number-line/	g3_p2	E
Exercise 2	/e/inequalities_on_a_number_line/	g3_p2	E
	Quiz 1	g3_p1, g3_p2	E
			
	Playlist 3: Write place value/face value and expanded form of 3/4 digit numbes	g3_p3	E
	Subtitle: Week 4		
Video 1	 /v/place-value-1/	g3_p3	E
Video 2	/v/place-value-3/	g3_p3	E
Video 3	/v/representing-numbers/	g3_p3	E
Video 4	/v/comparing-place-values/	g3_p3	E
Exercise 1	/e/place_value/	g3_p3	E
Video 5	/v/counting-1-exercise/	g3_p3	E
Exercise 2	/e/counting_1/	g3_p3	E
Video 6	/v/regrouping-whole-numbers/	g3_p3	E
Video 7	/v/regrouping-whole-numbers-example-1/	g3_p3	E
Video 8	/v/regrouping-whole-numbers-example-2/	g3_p3	E
	Quiz 2	g3_p3	E
			
	Playlist 4: Addition without carryover	g3_p4	E
	Subtitle: Week 5		
Video 1	/v/basic-addition/	g3_p4	E
Exercise 1	/e/addition_1/	g3_p4	E
Video 2	/v/adding-whole-numbers-and-applications-1/	g3_p4	E
	Unit Test-1	g3_p1, g3_p2, gr_p3, g3_p4	
			
	Playlist 5: Write and retell multiplication tables	g3_p5	E
	Subtitle: Week 6		
Video 1	/v/multiplication-intro/	g3_p5	E
Video 2	/v/multiplication-as-groups-of-objects/	g3_p5	E
