Index	Link	Playlist ID	Essential/Optional (E/O)
	Baseline Exam	g4_p1,g4_p2,g4_p3,g4_p4, g4_p5,g4_p6,g4_p7,g4_p9 ,g4_p10,g4_p11,g4_p12, g4_p13,g4_p14,g4_p15, g4_p16,g4_p18

Playlist 1: Place Values		g5_p1

	Subtitle:Week 1	g5_p1	E
Video1	/v/place-value-1/	g5_p1	E
Video 2	/v/place-value-2/	g5_p1	E
Video 3	/v/representing-numbers/	g5_p1	E
Video 4	/v/comparing-place-values/	g5_p1	E
Video5	/v/understanding-place-value-1-exercise/	g5_p1	E
Video6	/v/place-value-relationships-example/	g5_p1	E
Exercise 1	/e/place_value	g5_p1	E
Video 7	/v/regrouping-numbers-intro-various-place-values/	g5_p1	E
Video 8	/v/comparing-whole-number-place-values/	g5_p1	E
Video 9	/v/largest-possible-number-from-4-digits-example/	g5_p1	E
Video 10	/v/counting-1-exercise/	g5_p1	E
Exercise 2	/e/counting_1/	g5_p1	E

Playlist 2: Understanding & regrouping whole numbers; Counting and Inequalities		g5_p2

	Subtitle:Week 2	g5_p2	E
Video1	 /v/regrouping-whole-numbers/	g5_p2	E
Video 2	 /v/regrouping-whole-numbers-example-1/	g5_p2	E
Video 3	/v/regrouping-whole-numbers-example-2/	g5_p2	E
Video 4	/v/greater-than-and-less-than-symbols/	g5_p2	E
Exercise 1	/e/greater-than-less-than/e/comparing_whole_numbers/	g5_p2	E
Video 6	 15:/v/plotting-inequalities-on-a-number-line/	g5_p2	E
Video 7	 16:/v/writing-numerical-inequalities-exercise/	g5_p2	E
Video 8	 17:/v/inequalities-in-one-variable-1-exercise/	g5_p2	E
Video 9	 18:/v/inequalities-on-a-number-line/	g5_p2	E
Video 10	 19:/v/figuring-out-days-of-the-week/	g5_p2	E
Exercise 2	/e/comparing_whole_numbers/	g5_p2	E
Exercise 3 	/e/greater-than-less-than/e/comparing_whole_numbers/	g5_p2	E
Exercise 4	/e/inequalities_on_a_number_line/	g5_p2	E
	Quiz 1	g5_p1, g5_p2

Playlist 3: Addition & Subtraction; Addition with carrying;		g5_p3

	Subtitle: Week 3	g5_p3
Video 1	/v/basic-addition/	g5_p3	E
Video 2	/v/basic-subtraction/	g5_p3	E
Exercise 1	e/addition_1/	g5_p3	E
Exercise 2	/e/subtraction_1	g5_p3	E
Video 3	/v/adding-whole-numbers-and-applications-1/	g5_p3	E
Video 4	/v/subtraction-2/	g5_p3	E
Video 5	/v/subtracting-whole-numbers/	g5_p3	E
Video 6	/v/level-2-addition/	g5_p3	E
Exercise 3 	/e/addition_2/	g5_p3	E
Exercise 4	/e/subtraction_2/	g5_p3	E
Video 7	/v/carrying-when-adding-three-digit-numbers/	g5_p3	E
Video 8	/v/why-carrying-works/	g5_p3	E
Video 9	/v/example-adding-with-carrying/	g5_p3	E
Video 10	/v/addition-4/	g5_p3	E
Exercise 5	/e/addition_3/	g5_p3	E
Exercise 6	/e/addition_4/	g5_p3	E

	Subtitle: Week 4	g5_p3
Video 11	/v/basic-regrouping-or-borrowing-when-subtracting-three-digit-numbers/	g5_p3	E
Video 12	/v/regrouping-when-subtracting-three-digit-numbers/	g5_p3	E
Video 13	/v/regrouping-twice-when-subtracting-three-digit-numbers/	g5_p3	E
Video 14	/v/regrouping-from-0-when-subtracting-three-digit-numbers/	g5_p3	E
Video 15	/v/sub_borrowing/v/borrowing-once-example-1/	g5_p3	E
Video 16	/v/regrouping--borrowing--twice-example/	g5_p3	E
Exercise 7	/e/subtraction_3/	g5_p3	E
Exercise 8	/e/subtraction_4	g5_p3	E
Video 17	/v/subtraction-word-problem/	g5_p3	E
Exercise 9	/e/arithmetic_word_problems_1/	g5_p3	E
	Quiz 2	g5_p3


Playlist 4: Concept of Multipliction, Basics of Multiplication		g5_p4

	Subtitle: Week 5	g5_p4
Video 1	/v/multiplication-intro/	g5_p4	E
Video 2	/v/multiplication-as-groups-of-objects/	g5_p4	E
Video 3	/v/more-on-the-concept-of-multiplication/	g5_p4	E
Video 4	/v/number-line-1/	g5_p4	E
Video 5	/v/basic-multiplication/	g5_p4	E
Video 6	/v/multiplication-2--the-multiplication-tables/	g5_p4	E
Video 7	/v/multiplying-whole-numbers-and-applications-1/	g5_p4	E
Video 8	/v/multiplication-3--10-11-12-times-tables/	g5_p4	E
Exercise 1	/e/number_line/	g5_p4	E
Exercise 2	/e/multiplication_0.5/	g5_p4	E
	Unit test 1 	 g5_p1,g5_p2,g5_p3,g5_p4	E
Playlist 5: Multi-digit multiplication; Lattice Multiplication 		g5_p5

	Subtitle: Week 6	g5_p5
Video 1	/v/multiplying-by-multiples-of-10/	g5_p5	E
Video 2	/v/more-on-the-concept-of-multiplication/	g5_p5	E
Video 3	/v/more-on-the-concept-of-multiplication/	g5_p5	E
Video 4	/v/number-line-1/	g5_p5	E
Video 5	/v/3-digit-times-1-digit-example/	g5_p5	E
Video 6	/v/4-digit-times-1-digit-example/	g5_p5	E
Video 7	/v/multiplication-5---2-digit-times-a-2-digit-number/	g5_p5	E
Video 8	/v/multiplying-whole-numbers-and-applications-2/	g5_p5	E
Video 9	/v/multiplication-6--multiple-digit-numbers/	g5_p5	E
Video 10	/v/multiplying-whole-numbers-and-applications-4/	g5_p5	E
Video 11	/v/multiplication-7--old-video-giving-more-examples/	g5_p5	E
Exercise 1	/e/multiplication_1/	g5_p5	E
Exercise 2	/e/multiplication_1.5/	g5_p5	E
Exercise 3	/e/multiplication_2/	g5_p5	E
Exercise 4	/e/multiplication_3/	g5_p5	E
Exercise 5	/e/multiplication_4/	g5_p5	E
Video 12	/v/lattice-multiplication/	g5_p5	E
Video 13	/v/why-lattice-multiplication-works/	g5_p5	E
	Quiz 3	g5_p4, g5_p5	E

Playlist 6: Multiplication and division word problems
		g5_p6


	Subtitle: Week 7	g5_p6
Video 1	/v/comparing-with-multiplication-exercise/	g5_p6	E
Video 2	/v/multiplying-whole-numbers-and-applications-6/	g5_p6	E
Video 3	/v/multiplication-word-problem-example-1/	g5_p6	E
Video 4	/v/division-word-problem-example-1/	g5_p6	E
Video 5	/v/multiplication-and-division-word-problems-2/	g5_p6	E
Exercise 1	/e/arithmetic_word_problems_2/	g5_p6	E
Exercise 2	/e/arithmetic_word_problems/	g5_p6	E
	Subtitle: Week 8	g5_p6	E
Video 6	/v/multi-step-word-problems-with-whole-numbers-exercise-1/	g5_p6	E
Video 7	/v/multi-step-word-problems-with-whole-numbers-exercise-t2/	g5_p6	E
Video 8	/v/multi-step-word-problems-with-whole-numbers-exercise-3/	g5_p6	E
Video 9	/v/understanding-multiplication-through-area-models/	g5_p6	E
Video 10	/v/area-model-for-multiplication/	g5_p6	E
Video 11	/v/multistep-word-problems-example-1/	g5_p6	E
Video 12	/v/multistep-word-problems-example-2/	g5_p6	E
Video 13	/v/multistep-word-problems-example-3/	g5_p6	E

Playlist 7: Point,Lines and Planes; Number patterns		g5_p7

	Subtitle:week 9	g5_p7
Video 1	/v/measuring-segments/	g5_p7	E
Video 2	/v/congruent-segments/	g5_p7	E
Exercise 1	/congruent_segments/	g5_p7	E
Exercise 2	/e/measuring_segments/	g5_p7	E
Video 3	/v/figuring-out-days-of-the-week/	g5_p7	E
Video 4	/v/math-patterns-example-1/	g5_p7	E
Video 5	/v/math-patterns-example-2/	g5_p7	E
Video 6	/v/relationships-between-patterns/	g5_p7	E
Video 7	/v/interpreting-relationships-between-patterns/	g5_p7	E
Video 8	/v/interpreting-and-graphing-relationships-between-patterns/	g5_p7	E

Playlist 8:Factors and multiples		g5_p8


	Subtitle: week 10	g5_p8
Video 1	/v/divisibility-tests-for-2--3--4--5--6--9--10/	g5_p8	E
Video 2	/v/recognizing-divisibility/	g5_p8	E
Video 3	/v/the-why-of-the-3-divisibility-rule/	g5_p8	E
Video 4	/v/the-why-of-the-9-divisibility-rule/	g5_p8	E
Video 5	/v/finding-factors-of-a-number/	g5_p8	E
Exercise 1	Exercise:/e/divisibility_tests/	g5_p8	E
