Index	Link	Playlist_ID	Essential/Optional (E/O)
			
	Baseline exam	g5_p1, g5_p2, g5_p3, g5_p4, g5_p5, g5_p6, g5_p7, g5_p8, g5_p9, g5_p10, g5_p11, g5_p12, g5_p13, g5_p14, g5_p15, g5_p16, g5_p17, g5_p18, g5_p19, g5_p20, g5_p21	
			
	Playlist 1: Test of divisibility and prime numbers	g6_p1	E
	Subtitle: Week 1	g6_p1	
Video 1	/v/divisibility-tests-for-2--3--4--5--6--9--10/	g6_p1	E
Video 2	/v/recognizing-divisibility/	g6_p1	E
Video 3	/v/the-why-of-the-3-divisibility-rule/	g6_p1	E
Video 4	/v/the-why-of-the-9-divisibility-rule/	g6_p1	E
Exercise 1	/e/divisibility_tests/	g6_p1	E
Video 5	/v/prime-numbers/	g6_p1	E
Video 6	/v/recognizing-prime-numbers/	g6_p1	E
Exercise 2	/e/composite_numbers/	g6_p1	E
	Subtitle: Week 2		
Video 7	/v/prime-factorization/	g6_p1	E
Video 8	/v/prime-factorization-exercise/	g6_p1	E
Video 9	/v/the-fundamental-theorem-of-arithmetic/	g6_p1	E
Video 10	/v/common-divisibility-examples/	g6_p1	E
Exercise 3	/e/prime_factorization/	g6_p1	E
Exercise 4	/e/the_fundamental_theorem_of_arithmetic/	g6_p1	E
Exercise 5	/e/divisibility/	g6_p1	E
			
	Playlist 2: LCM and GCF	g6_p2	E
	Subtitle: Week 3	g6_p2	
Video 1	/v/least-common-multiple-exercise/	g6_p2	E
Video 2	/v/least-common-multiple-exercise-2/	g6_p2	E
Video 3	/v/least-common-multiple--lcm/	g6_p2	E
Video 4	/v/least-common-multiple/	g6_p2	E
Exercise 1	 /e/least_common_multiple/	g6_p2	E
Video 5	/v/greatest-common-divisor-factor-exercise/	g6_p2	E
Video 6	/v/greatest-common-divisor/	g6_p2	E
Video 7	/v/lcm-and-gcf-greatest-common-factor--word-problems/	g6_p2	E
Exercise 2	/e/greatest_common_divisor/	g6_p2	E
Exercise 3	/e/least_common_multiple_and_greatest_common_divisor_word_problems/	g6_p2	E
	Quiz 1	g6_p1, g6_p2	E
			
	Playlist 3: Order of operations	g6_p3	E
	Subtitle: Week 4	g6_p3	
Video 1	/v/constructing-numerical-expressions-example/	g6_p3	E
Video 2	/v/evaluating-an-expression-with-and-without-parentheses/	g6_p3	E
Video 3	/v/introduction-to-order-of-operations/	g6_p3	E
Video 4	/v/order-of-operations/	g6_p3	E
Exercise 1	/e/order_of_operations	g6_p3	E
			
	Playlist 4: Commutative. distributive and associative properties	g6_p4	E
	Subtitle: Week 5	g6_p4	
