YouTube ID,View Count,Favorite Count,Video Title,Author Name,User ID,Upload Date,Rating Likes,Rating Dislikes,Average Rating
IfF1QUt5Ifk,544,0,Zapisywanie ułamków niewłaściwych w postaci liczb mieszanych,KhanAcademyPolski,QYPNNQExri6AG5NmQjmvNg,2012-06-27T10:09:51.000Z,1,0,5.0
vqUwOaeBn38,247,0,Rozwiązywanie równania pierwszego stopnia metodą wagi - objaśnienie do ćwiczenia,KhanAcademyPolski,QYPNNQExri6AG5NmQjmvNg,2013-05-12T07:44:06.000Z,None,None,None
UhJYVsz2DWc,144,0,Rozwiązywanie równań wymiernych,KhanAcademyPolski,QYPNNQExri6AG5NmQjmvNg,2013-12-27T11:12:53.000Z,None,None,None
GKBWzceu22k,185,0,Mnożenie pisemne przez liczby z zerami na końcu,KhanAcademyPolski,QYPNNQExri6AG5NmQjmvNg,2013-12-07T14:29:17.000Z,None,None,None
oLNHivlsFvQ,189,0,Zależności pomiędzy zbiorami liczbowymi,KhanAcademyPolski,QYPNNQExri6AG5NmQjmvNg,2013-12-11T11:44:55.000Z,None,None,None
fYVwvySypP0,216,0,Miara kąta w radianach a długość łuku,KhanAcademyPolski,QYPNNQExri6AG5NmQjmvNg,2013-10-26T14:20:31.000Z,1,0,5.0
OUt5rvldZ5U,128,0,Ciekawe zadania dotyczące pola i obwodu trójkątów,KhanAcademyPolski,QYPNNQExri6AG5NmQjmvNg,2013-12-25T09:00:49.000Z,None,None,None
3WK3Bc07MJw,1040,0,Jak obliczyć ratę kredytu,KhanAcademyPolski,QYPNNQExri6AG5NmQjmvNg,2013-09-09T21:35:58.000Z,11,0,5.0
D8dbdZbeKa4,817,0,Więcej o orbitalach i konfiguracji elektronowej,KhanAcademyPolski,QYPNNQExri6AG5NmQjmvNg,2013-12-30T16:09:46.000Z,5,0,5.0
c_6aEVQPYPs,161,0,Równania z wartością bezwględną - przykład 1,KhanAcademyPolski,QYPNNQExri6AG5NmQjmvNg,2013-03-24T08:52:08.000Z,2,0,5.0
V7T8oUQoa0U,169,0,Rozwiązanie nierówności pierwszego stopnia,KhanAcademyPolski,QYPNNQExri6AG5NmQjmvNg,2013-04-30T05:32:39.000Z,1,0,5.0
BL-m_Lj64H0,612,0,Obliczanie funkcji trygonometrycznych kąta rozwartego,KhanAcademyPolski,QYPNNQExri6AG5NmQjmvNg,2013-11-12T20:01:35.000Z,4,2,3.6666667
enkx_vHXLmk,356,0,Przykłady wykorzystania prawa rozdzielności mnożenia względem dodawania,KhanAcademyPolski,QYPNNQExri6AG5NmQjmvNg,2013-01-14T20:38:15.000Z,3,0,5.0
bPKmFY9wdf8,468,0,Cechy podzielności,KhanAcademyPolski,QYPNNQExri6AG5NmQjmvNg,2013-03-06T10:34:43.000Z,3,1,4.0
Ji6VyN1guAY,127,0,Mnożenie dwumianów,KhanAcademyPolski,QYPNNQExri6AG5NmQjmvNg,2013-12-27T11:12:53.000Z,None,None,None
